Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,3.462100,3.462100,3.462100,3.462100,3.462100,0
2003-12-02,3.415100,3.415100,3.415100,3.415100,3.415100,0
2003-12-03,3.479900,3.479900,3.479900,3.479900,3.479900,0
2003-12-04,3.459700,3.459700,3.459700,3.459700,3.459700,0
2003-12-05,3.479400,3.479400,3.479400,3.479400,3.479400,0
2003-12-08,3.507500,3.507500,3.507500,3.507500,3.507500,0
2003-12-09,3.526100,3.526100,3.526100,3.526100,3.526100,0
2003-12-10,3.514600,3.514600,3.514600,3.514600,3.514600,0
2003-12-11,3.496500,3.496500,3.496500,3.496500,3.496500,0
2003-12-12,3.525000,3.525000,3.525000,3.525000,3.525000,0
2003-12-15,3.506400,3.506400,3.506400,3.506400,3.506400,0
2003-12-16,3.522900,3.522900,3.522900,3.522900,3.522900,0
2003-12-17,3.546800,3.546800,3.546800,3.546800,3.546800,0
2003-12-18,3.557200,3.557200,3.557200,3.557200,3.557200,0
2003-12-19,3.557600,3.557600,3.557600,3.557600,3.557600,0
2003-12-22,3.556400,3.556400,3.556400,3.556400,3.556400,0
2003-12-23,3.544300,3.544300,3.544300,3.544300,3.544300,0
2003-12-24,null,null,null,null,null,null
2003-12-25,null,null,null,null,null,null
2003-12-26,null,null,null,null,null,null
2003-12-29,3.549000,3.549000,3.549000,3.549000,3.549000,0
2003-12-30,3.517600,3.517600,3.517600,3.517600,3.517600,0
2003-12-31,3.517600,3.517600,3.517600,3.517600,3.517600,0
2004-01-01,null,null,null,null,null,null
2004-01-02,3.559700,3.559700,3.559700,3.559700,3.559700,0
2004-01-05,3.563400,3.563400,3.563400,3.563400,3.563400,0
2004-01-06,3.542600,3.542600,3.542600,3.542600,3.542600,0
2004-01-07,3.568700,3.568700,3.568700,3.568700,3.568700,0
2004-01-08,3.521700,3.521700,3.521700,3.521700,3.521700,0
2004-01-09,3.552500,3.552500,3.552500,3.552500,3.552500,0
2004-01-12,3.551700,3.551700,3.551700,3.551700,3.551700,0
2004-01-13,3.467200,3.467200,3.467200,3.467200,3.467200,0
2004-01-14,3.487200,3.487200,3.487200,3.487200,3.487200,0
2004-01-15,3.475300,3.475300,3.475300,3.475300,3.475300,0
2004-01-16,3.437900,3.437900,3.437900,3.437900,3.437900,0
2004-01-19,3.423600,3.423600,3.423600,3.423600,3.423600,0
2004-01-20,3.468700,3.468700,3.468700,3.468700,3.468700,0
2004-01-21,3.499300,3.499300,3.499300,3.499300,3.499300,0
2004-01-22,3.532700,3.532700,3.532700,3.532700,3.532700,0
2004-01-23,3.535800,3.535800,3.535800,3.535800,3.535800,0
2004-01-26,3.494200,3.494200,3.494200,3.494200,3.494200,0
2004-01-27,3.478200,3.478200,3.478200,3.478200,3.478200,0
2004-01-28,3.553700,3.553700,3.553700,3.553700,3.553700,0
2004-01-29,3.564100,3.564100,3.564100,3.564100,3.564100,0
2004-01-30,3.567300,3.567300,3.567300,3.567300,3.567300,0
2004-02-02,3.594000,3.594000,3.594000,3.594000,3.594000,0
2004-02-03,3.572300,3.572300,3.572300,3.572300,3.572300,0
2004-02-04,3.572300,3.572300,3.572300,3.572300,3.572300,0
2004-02-05,3.604600,3.604600,3.604600,3.604600,3.604600,0
2004-02-06,3.625000,3.625000,3.625000,3.625000,3.625000,0
2004-02-09,3.644700,3.644700,3.644700,3.644700,3.644700,0
2004-02-10,3.649700,3.649700,3.649700,3.649700,3.649700,0
2004-02-11,3.625100,3.625100,3.625100,3.625100,3.625100,0
2004-02-12,3.647400,3.647400,3.647400,3.647400,3.647400,0
2004-02-13,3.647400,3.647400,3.647400,3.647400,3.647400,0
2004-02-16,3.621700,3.621700,3.621700,3.621700,3.621700,0
2004-02-17,3.659700,3.659700,3.659700,3.659700,3.659700,0
2004-02-18,3.673000,3.673000,3.673000,3.673000,3.673000,0
2004-02-19,3.666100,3.666100,3.666100,3.666100,3.666100,0
2004-02-20,3.663700,3.663700,3.663700,3.663700,3.663700,0
2004-02-23,3.636400,3.636400,3.636400,3.636400,3.636400,0
2004-02-24,3.650700,3.650700,3.650700,3.650700,3.650700,0
2004-02-25,3.662800,3.662800,3.662800,3.662800,3.662800,0
2004-02-26,3.572400,3.572400,3.572400,3.572400,3.572400,0
2004-02-27,3.556400,3.556400,3.556400,3.556400,3.556400,0
2004-03-01,3.547300,3.547300,3.547300,3.547300,3.547300,0
2004-03-02,3.512100,3.512100,3.512100,3.512100,3.512100,0
2004-03-03,3.429100,3.429100,3.429100,3.429100,3.429100,0
2004-03-04,3.446500,3.446500,3.446500,3.446500,3.446500,0
2004-03-05,3.445300,3.445300,3.445300,3.445300,3.445300,0
2004-03-08,3.469600,3.469600,3.469600,3.469600,3.469600,0
2004-03-09,3.476200,3.476200,3.476200,3.476200,3.476200,0
2004-03-10,3.476200,3.476200,3.476200,3.462200,3.462200,0
2004-03-11,3.468300,3.468300,3.468300,3.468300,3.468300,0
2004-03-12,3.491300,3.491300,3.491300,3.491300,3.491300,0
2004-03-15,3.485600,3.485600,3.485600,3.485600,3.485600,0
2004-03-16,3.506700,3.506700,3.506700,3.506700,3.506700,0
2004-03-17,3.470800,3.470800,3.470800,3.470800,3.470800,0
2004-03-18,3.491700,3.491700,3.491700,3.491700,3.491700,0
2004-03-19,3.508800,3.508800,3.508800,3.508800,3.508800,0
2004-03-22,3.499400,3.499400,3.499400,3.499400,3.499400,0
2004-03-23,3.489200,3.489200,3.489200,3.489200,3.489200,0
2004-03-24,3.489400,3.489400,3.489400,3.489400,3.489400,0
2004-03-25,3.467600,3.467600,3.467600,3.467600,3.467600,0
2004-03-26,3.503600,3.503600,3.503600,3.503600,3.503600,0
2004-03-29,3.482800,3.482800,3.482800,3.482800,3.482800,0
2004-03-30,3.508800,3.508800,3.508800,3.508800,3.508800,0
2004-03-31,3.474400,3.474400,3.474400,3.474400,3.474400,0
2004-04-01,3.490500,3.490500,3.490500,3.490500,3.490500,0
2004-04-02,3.478700,3.478700,3.478700,3.478700,3.478700,0
2004-04-05,3.418100,3.418100,3.418100,3.418100,3.418100,0
2004-04-06,3.398400,3.398400,3.398400,3.398400,3.398400,0
2004-04-07,3.398000,3.398000,3.398000,3.398000,3.398000,0
2004-04-08,3.418300,3.418300,3.418300,3.418300,3.418300,0
2004-04-09,null,null,null,null,null,null
2004-04-12,null,null,null,null,null,null
2004-04-13,3.369000,3.369000,3.369000,3.369000,3.369000,0
2004-04-14,3.362200,3.362200,3.362200,3.362200,3.362200,0
2004-04-15,3.360300,3.360300,3.360300,3.360300,3.360300,0
2004-04-16,3.407800,3.407800,3.407800,3.407800,3.407800,0
2004-04-19,3.427200,3.427200,3.427200,3.427200,3.427200,0
2004-04-20,3.407800,3.407800,3.407800,3.384300,3.384300,0
2004-04-21,3.384300,3.384300,3.384300,3.384300,3.384300,0
2004-04-22,3.388300,3.388300,3.388300,3.388300,3.388300,0
2004-04-23,3.400000,3.400000,3.400000,3.400000,3.400000,0
2004-04-26,3.364800,3.364800,3.364800,3.364800,3.364800,0
2004-04-27,3.377500,3.377500,3.377500,3.377500,3.377500,0
2004-04-28,3.385900,3.385900,3.385900,3.385900,3.385900,0
2004-04-29,3.404100,3.404100,3.404100,3.404100,3.404100,0
2004-04-30,3.467500,3.467500,3.467500,3.467500,3.467500,0
2004-05-03,3.428200,3.428200,3.428200,3.428200,3.428200,0
2004-05-04,3.508900,3.508900,3.508900,3.508900,3.508900,0
2004-05-05,3.525700,3.525700,3.525700,3.525700,3.525700,0
2004-05-06,3.507000,3.507000,3.507000,3.507000,3.507000,0
2004-05-07,3.535300,3.535300,3.535300,3.535300,3.535300,0
2004-05-10,3.538900,3.538900,3.538900,3.538900,3.538900,0
2004-05-11,3.633100,3.633100,3.633100,3.633100,3.633100,0
2004-05-12,3.570500,3.570500,3.570500,3.570500,3.570500,0
2004-05-13,3.637100,3.637100,3.637100,3.637100,3.637100,0
2004-05-14,3.612900,3.612900,3.612900,3.612900,3.612900,0
2004-05-17,3.634900,3.634900,3.634900,3.634900,3.634900,0
2004-05-18,3.660000,3.660000,3.660000,3.660000,3.660000,0
2004-05-19,3.675500,3.675500,3.675500,3.675500,3.675500,0
2004-05-20,null,null,null,null,null,null
2004-05-21,3.787200,3.787200,3.787200,3.787200,3.787200,0
2004-05-24,3.737100,3.737100,3.737100,3.737100,3.737100,0
2004-05-25,3.756100,3.756100,3.756100,3.756100,3.756100,0
2004-05-26,3.720300,3.720300,3.720300,3.720300,3.720300,0
2004-05-27,3.762600,3.762600,3.762600,3.762600,3.762600,0
2004-05-28,3.743100,3.743100,3.743100,3.743100,3.743100,0
2004-05-31,null,null,null,null,null,null
2004-06-01,3.822900,3.822900,3.822900,3.822900,3.822900,0
2004-06-02,3.780300,3.780300,3.780300,3.780300,3.780300,0
2004-06-03,3.747400,3.747400,3.747400,3.747400,3.747400,0
2004-06-04,3.769400,3.769400,3.769400,3.769400,3.769400,0
2004-06-07,3.773500,3.773500,3.773500,3.773500,3.773500,0
2004-06-08,3.773500,3.773500,3.753800,3.753800,3.753800,0
2004-06-09,3.710100,3.710100,3.710100,3.710100,3.710100,0
2004-06-10,3.691000,3.691000,3.691000,3.691000,3.691000,0
2004-06-11,3.691000,3.691000,3.691000,3.672000,3.672000,0
2004-06-14,3.672000,3.672000,3.672000,3.698800,3.698800,0
2004-06-15,3.698800,3.698800,3.698800,3.729700,3.729700,0
